,Avg Transaction,Avg Amount of Cash,Week 1 Avg,Week 2 Avg,Week 3 Avg,Week 4 Avg
Depanneur Amigos Gatineau,42.74038462,5179.615385,4766.153846,5565.384615,5553.846154,4833.076923
Depanneur Delta Gatineau,73.375,7276.346154,7229.230769,7480.769231,7497.692308,6897.692308
Depanneur Seguin Gatineau,67.33653846,7643.269231,8078.461538,7343.846154,7810,7340.769231
Esso Almonte Almonte,71.86538462,5531.923077,4972.307692,5843.076923,5569.230769,5743.076923
La Moulin Rouge Gatineau,64.51923077,6960.192308,6819.230769,7176.923077,6512.307692,7332.307692
Layalina Cafe Ottawa,64.86538462,2194.423077,2250.769231,2058.461538,2177.692308,2290.769231
Quicke Convenience Somerset,75.07692308,6246.153846,5874.615385,6589.230769,6387.692308,6133.076923
Quickie Donald St Ottawa,60.62745098,5330,5087.692308,6007.692308,5492.307692,4682.5
Quickie Dubarry Gatineau,79.625,9955.192308,10517.69231,9629.230769,10182.30769,9491.538462
Quickie Elgin Ottawa,79.55769231,7226.538462,7303.846154,7968.461538,7276.153846,6357.692308
Quickie Gatineau,51.80769231,5288.076923,5056.923077,5480.769231,5281.538462,5333.076923
Quickie Hunt Club Rd Ottawa,79.20192308,8315.192308,8255.384615,8448.461538,8863.846154,7693.076923
Safi Fine Foods Ottawa,22.80769231,2203.076923,2033.076923,2370.769231,2062.307692,2346.153846
The Shawarma Place Ottawa,49.49038462,4048.846154,4100,3849.230769,4378.461538,3867.692308
