,Date,Time,Type,Fee,Amount,Status
2,09/17/2018,13:11:17,Withdrawal,$     0.00,$    20.00,Insufficient Funds
3,09/17/2018,12:22:22,Withdrawal,$     0.00,$    60.00,Bad Pin
4,09/17/2018,16:29:06,Withdrawal,$     2.50,$   120.00,Approved
5,09/17/2018,17:54:56,Withdrawal,$     2.50,$    60.00,Approved
7,09/17/2018,13:36:45,Withdrawal,$     2.50,$   100.00,Approved
9,09/18/2018,11:04:38,Withdrawal,$     2.50,$   100.00,Approved
10,09/18/2018,09:37:30,Withdrawal,$     2.50,$   100.00,Approved
11,09/18/2018,13:54:33,Withdrawal,$     2.50,$    20.00,Approved
12,09/18/2018,13:08:25,Withdrawal,$     2.50,$    80.00,Approved
13,09/18/2018,16:55:54,Withdrawal,$     2.50,$    60.00,Approved
14,09/18/2018,16:46:45,Withdrawal,$     2.50,$   300.00,Approved
15,09/18/2018,18:22:22,Withdrawal,$     2.50,$    80.00,Approved
16,09/18/2018,20:13:00,Withdrawal,$     2.50,$   200.00,Approved
19,09/18/2018,15:00:15,Withdrawal,$     2.50,$    40.00,Approved
20,09/19/2018,17:56:33,Withdrawal,$     2.50,$   200.00,Approved
21,09/19/2018,17:26:42,Withdrawal,$     2.50,$   300.00,Approved
22,09/19/2018,18:38:37,Withdrawal,$     2.50,$   100.00,Approved
23,09/19/2018,08:00:55,Withdrawal,$     2.50,$    20.00,Approved
26,09/20/2018,16:57:09,Withdrawal,$     2.50,$    20.00,Approved
27,09/20/2018,18:20:06,Withdrawal,$     0.00,$   200.00,Bad Transaction
28,09/20/2018,19:15:47,Withdrawal,$     2.50,$   300.00,Approved
29,09/20/2018,18:21:11,Withdrawal,$     2.50,$   200.00,Approved
32,09/21/2018,13:52:30,Withdrawal,$     2.50,$    20.00,Approved
33,09/21/2018,17:34:15,Withdrawal,$     2.50,$    40.00,Approved
34,09/21/2018,15:34:21,Withdrawal,$     2.50,$    60.00,Approved
37,09/21/2018,22:37:07,Withdrawal,$     2.50,$    40.00,Approved
38,09/22/2018,09:37:22,Withdrawal,$     2.50,$    60.00,Approved
40,09/22/2018,09:49:50,Withdrawal,$     0.00,$    60.00,Insufficient Funds
41,09/22/2018,12:39:53,Withdrawal,$     2.50,$   100.00,Approved
42,09/22/2018,09:51:44,Withdrawal,$     2.50,$   120.00,Approved
43,09/22/2018,16:29:56,Withdrawal,$     2.50,$    20.00,Approved
44,09/22/2018,15:47:57,Withdrawal,$     2.50,$   200.00,Approved
45,09/22/2018,17:34:06,Withdrawal,$     2.50,$   200.00,Approved
46,09/22/2018,17:32:45,Withdrawal,$     2.50,$   100.00,Approved
48,09/22/2018,19:38:05,Withdrawal,$     2.50,$   100.00,Approved
49,09/22/2018,21:53:56,Withdrawal,$     2.50,$    40.00,Approved
50,09/21/2018,22:38:13,Withdrawal,$     2.50,$    40.00,Approved
51,09/23/2018,19:11:28,Withdrawal,$     2.50,$    60.00,Approved
52,09/23/2018,14:07:56,Withdrawal,$     2.50,$    40.00,Approved
55,09/23/2018,20:12:07,Withdrawal,$     2.50,$   300.00,Approved
56,09/24/2018,11:41:49,Withdrawal,$     0.00,$   140.00,Insufficient Funds
57,09/24/2018,18:35:40,Withdrawal,$     2.50,$    20.00,Approved
58,09/24/2018,12:36:07,Withdrawal,$     2.50,$    20.00,Approved
59,09/24/2018,15:30:47,Withdrawal,$     2.50,$    60.00,Approved
60,09/24/2018,11:42:57,Withdrawal,$     2.50,$   120.00,Approved
63,09/25/2018,10:55:38,Withdrawal,$     2.50,$    60.00,Approved
64,09/25/2018,15:00:03,Withdrawal,$     2.50,$   200.00,Approved
65,09/25/2018,16:00:47,Withdrawal,$     2.50,$   200.00,Approved
66,09/25/2018,17:56:48,Withdrawal,$     2.50,$    20.00,Approved
68,09/25/2018,19:06:49,Withdrawal,$     0.00,$    20.00,Insufficient Funds
71,09/25/2018,14:42:14,Withdrawal,$     2.50,$    20.00,Approved
72,09/26/2018,14:05:11,Withdrawal,$     2.50,$    60.00,Approved
73,09/26/2018,15:04:36,Withdrawal,$     2.50,$    20.00,Approved
74,09/26/2018,09:05:31,Withdrawal,$     2.50,$   100.00,Approved
75,09/26/2018,12:18:56,Withdrawal,$     2.50,$    60.00,Approved
77,09/26/2018,19:20:03,Withdrawal,$     2.50,$   100.00,Approved
78,09/27/2018,11:18:20,Withdrawal,$     2.50,$   160.00,Approved
79,09/27/2018,17:50:22,Withdrawal,$     2.50,$    20.00,Approved
80,09/27/2018,19:31:53,Withdrawal,$     0.00,$    40.00,Bad Card
82,09/27/2018,09:52:16,Withdrawal,$     2.50,$   140.00,Approved
83,09/27/2018,20:00:16,Withdrawal,$     2.50,$    40.00,Approved
84,09/27/2018,19:57:41,Withdrawal,$     2.50,$    20.00,Approved
85,09/27/2018,20:27:54,Withdrawal,$     0.00,$    60.00,Insufficient Funds
86,09/27/2018,19:32:30,Withdrawal,$     2.50,$    40.00,Approved
87,09/27/2018,20:28:33,Withdrawal,$     0.00,$    60.00,Insufficient Funds
89,09/28/2018,08:09:10,Withdrawal,$     2.50,$   100.00,Approved
90,09/27/2018,21:47:03,Withdrawal,$     2.50,$    40.00,Approved
91,09/27/2018,21:46:18,Withdrawal,$     2.50,$    80.00,Approved
92,09/28/2018,12:46:02,Withdrawal,$     2.50,$    60.00,Approved
93,09/28/2018,12:57:33,Withdrawal,$     2.50,$    60.00,Approved
94,09/28/2018,13:54:43,Withdrawal,$     2.50,$    20.00,Approved
95,09/28/2018,14:22:11,Withdrawal,$     2.50,$   400.00,Approved
96,09/28/2018,13:55:44,Withdrawal,$     2.50,$   200.00,Approved
98,09/28/2018,18:28:54,Withdrawal,$     2.50,$    60.00,Approved
100,09/28/2018,20:27:11,Withdrawal,$     2.50,$    40.00,Approved
101,09/28/2018,21:41:21,Withdrawal,$     2.50,$    20.00,Approved
102,09/28/2018,21:42:11,Withdrawal,$     2.50,$   100.00,Approved
103,09/29/2018,08:17:01,Withdrawal,$     2.50,$    20.00,Approved
104,09/28/2018,16:08:26,Withdrawal,$     2.50,$    40.00,Approved
105,09/29/2018,12:27:59,Withdrawal,$     0.00,$    40.00,Bad Transaction
106,09/29/2018,08:16:18,Withdrawal,$     2.50,$    40.00,Approved
107,09/29/2018,12:28:38,Withdrawal,$     2.50,$    40.00,Approved
108,09/29/2018,18:52:32,Withdrawal,$     2.50,$   100.00,Approved
109,09/29/2018,08:41:46,Withdrawal,$     2.50,$    80.00,Approved
110,09/29/2018,12:37:00,Withdrawal,$     2.50,$   200.00,Approved
111,09/29/2018,19:01:02,Withdrawal,$     2.50,$   200.00,Approved
112,09/29/2018,19:45:22,Withdrawal,$     2.50,$    20.00,Approved
113,09/29/2018,19:46:07,Withdrawal,$     2.50,$    40.00,Approved
115,09/29/2018,18:51:08,Withdrawal,$     2.50,$   120.00,Approved
116,09/29/2018,20:12:56,Withdrawal,$     2.50,$   100.00,Approved
117,09/29/2018,22:05:30,Withdrawal,$     2.50,$    60.00,Approved
118,09/29/2018,21:33:14,Withdrawal,$     0.00,$    60.00,Insufficient Funds
119,09/30/2018,10:43:20,Withdrawal,$     2.50,$    60.00,Approved
120,09/29/2018,22:04:33,Withdrawal,$     2.50,$    60.00,Approved
121,09/30/2018,16:59:21,Withdrawal,$     2.50,$    20.00,Approved
122,09/29/2018,22:31:19,Withdrawal,$     2.50,$    20.00,Approved
124,09/30/2018,15:00:22,Withdrawal,$     2.50,$    80.00,Approved
125,10/01/2018,19:40:45,Withdrawal,$     2.50,$    60.00,Approved
127,10/01/2018,19:42:32,Withdrawal,$     2.50,$   160.00,Approved
128,10/01/2018,18:35:12,Withdrawal,$     2.50,$    20.00,Approved
129,10/01/2018,20:03:32,Withdrawal,$     2.50,$    40.00,Approved
132,10/02/2018,09:41:34,Withdrawal,$     2.50,$   380.00,Approved
133,10/02/2018,11:05:16,Withdrawal,$     2.50,$   120.00,Approved
134,10/02/2018,15:30:56,Withdrawal,$     2.50,$    60.00,Approved
135,10/02/2018,11:06:58,Withdrawal,$     2.50,$   100.00,Approved
136,10/02/2018,16:45:32,Withdrawal,$     2.50,$    40.00,Approved
137,10/02/2018,15:32:12,Withdrawal,$     2.50,$    60.00,Approved
138,10/02/2018,17:31:36,Withdrawal,$     0.00,$   100.00,Insufficient Funds
139,10/02/2018,17:32:53,Withdrawal,$     0.00,$    20.00,Insufficient Funds
140,10/02/2018,17:32:17,Withdrawal,$     0.00,$    40.00,Insufficient Funds
141,10/02/2018,09:42:27,Withdrawal,$     2.50,$    40.00,Approved
143,10/02/2018,18:35:54,Withdrawal,$     2.50,$    40.00,Approved
144,10/03/2018,14:01:21,Withdrawal,$     2.50,$    20.00,Approved
145,10/03/2018,16:21:26,Withdrawal,$     2.50,$    60.00,Approved
149,10/04/2018,11:09:37,Withdrawal,$     2.50,$    40.00,Approved
150,10/04/2018,14:50:39,Withdrawal,$     2.50,$    20.00,Approved
152,10/04/2018,16:23:45,Withdrawal,$     2.50,$    60.00,Approved
154,10/04/2018,12:46:49,Withdrawal,$     2.50,$    60.00,Approved
155,10/05/2018,11:00:44,Withdrawal,$     2.50,$    20.00,Approved
156,10/05/2018,10:59:58,Withdrawal,$     0.00,$    20.00,Bad Transaction
157,10/05/2018,15:25:56,Withdrawal,$     2.50,$    40.00,Approved
159,10/05/2018,11:37:44,Withdrawal,$     2.50,$    20.00,Approved
160,10/05/2018,22:11:40,Withdrawal,$     2.50,$    20.00,Approved
162,10/05/2018,22:12:38,Withdrawal,$     2.50,$    20.00,Approved
163,10/06/2018,11:03:04,Withdrawal,$     2.50,$    20.00,Approved
164,10/06/2018,13:11:04,Withdrawal,$     2.50,$   120.00,Approved
165,10/06/2018,14:09:31,Withdrawal,$     2.50,$    40.00,Approved
166,10/06/2018,16:59:51,Withdrawal,$     0.00,$    80.00,Bad Pin
168,10/06/2018,16:05:29,Withdrawal,$     2.50,$   400.00,Approved
170,10/06/2018,17:01:29,Withdrawal,$     0.00,$    80.00,Bad Pin
